 gid ra dec x_pos y_pos
309 48785 53.152396 -27.681432 694.3323689245344 2160.758362932622
310 48794 53.152174 -27.680421 706.1133144384994 2221.42146477602
311 48802 53.120517 -27.681029 2388.1523646719097 2185.1266962478912
312 48843 53.150684 -27.678362 785.2537909918874 2344.980450822335
313 48881 53.14576 -27.679887 1046.9040924199007 2253.534049583497
314 48898 53.131904 -27.680457 1783.1247513946137 2219.4298807061496
315 48900 53.137635 -27.680031 1478.6150309818013 2244.9603253219248
316 48956 53.147076 -27.67914 976.9714944233137 2298.340841032579
317 48957 53.146299 -27.679267 1018.257989593777 2290.7288173117886
318 48998 53.135405 -27.679578 1597.0998307713426 2272.1536775025343
319 49028 53.127925 -27.679118 1994.5385421887522 2299.7825281816004
320 49072 53.124928 -27.678858 2153.7805548190545 2315.3873458602284
321 49097 53.123657 -27.677781 2221.313422443868 2380.008493278019
322 49127 53.145244 -27.67883 1074.3093785001192 2316.9594022899873
323 49134 53.124026 -27.67798 2201.7068974722943 2368.0682634696386
324 49145 53.126595 -27.678802 2065.2060318429476 2318.7451996594245
325 49173 53.125346 -27.677218 2131.568453961446 2413.787380457601
326 49191 53.130465 -27.678646 1859.576664623447 2328.0956091956796
327 49198 53.138754 -27.675911 1419.1264897505507 2492.1540536879584
328 49233 53.133541 -27.678271 1696.13410947783 2350.5834553779096
329 49269 53.141584 -27.677465 1268.7674152697373 2398.892368511286
330 49320 53.135361 -27.677315 1599.4237728433245 2407.9345550231446
331 49362 53.143073 -27.676387 1189.6391331439836 2463.5601244364116
332 49400 53.14237 -27.676676 1226.9959731300942 2446.2260874448366
333 49401 53.127101 -27.675133 2038.3124056008082 2538.885363810379
334 49411 53.130364 -27.675651 1864.9320736681939 2507.796803645426
335 49423 53.123502 -27.677253 2229.5490839796466 2411.6886993165244
336 49441 53.129911 -27.671553 1888.9881634363073 2753.6794918889464
337 49526 53.136752 -27.675279 1525.4993698922035 2530.0871774447623
338 49542 53.149554 -27.675718 845.2609034708503 2503.6345432588896
339 49555 53.129166 -27.6752 1928.587098294397 2534.8605563468445
340 49626 53.127771 -27.674779 2002.710522294924 2560.1241171147085
341 49661 53.141206 -27.673884 1288.820052317874 2613.7564638556323
342 49682 53.144728 -27.674044 1101.6751649718326 2604.125747209244
343 49692 53.14771 -27.672189 943.1998594341048 2715.396178567931
344 49712 53.148637 -27.674244 893.9675782011773 2592.085392595098
345 49763 53.145921 -27.672954 1038.2711257349574 2669.514482603485
346 49771 53.140584 -27.672981 1321.8630624848001 2667.941601548224
347 49790 53.140889 -27.673148 1305.6577881914864 2657.919187346113
348 49809 53.134455 -27.673169 1647.5401791743598 2656.7005304287886
349 49834 53.138508 -27.671789 1432.1660872219318 2739.476989929957
350 49845 53.13337 -27.672253 1705.1888601754445 2711.666029434262
351 49864 53.141587 -27.672069 1268.5583621248234 2722.6539645736666
352 49881 53.128244 -27.672201 1977.57026904125 2714.803831674526
353 49902 53.137562 -27.671316 1482.4307206405983 2767.8633663324144
354 49927 53.130589 -27.671668 1852.961315839254 2746.777265967161
355 49939 53.131724 -27.671159 1792.6479805881181 2777.3133173146016
356 50010 53.131143 -27.669909 1823.5159097373153 2852.315889068701
357 50039 53.130205 -27.669938 1873.3598306990762 2850.5790804623757
358 50040 53.131015 -27.670092 1830.3183631636794 2841.336289263523
359 50073 53.131718 -27.669018 1792.9574292187563 2905.7740288816676
360 50147 53.140452 -27.668814 1328.8411024273746 2917.9639400019987
361 50288 53.138803 -27.66954 1416.4728959979157 2874.415687946428
362 50425 53.132926 -27.66967 1728.7689614548226 2866.648837421795
