filename field pointing_angle
/Users/Vince.ec/Clear_data/flt_files/icxt30s7q_flt.fits GS3 193.040695
/Users/Vince.ec/Clear_data/flt_files/icxt31r1q_flt.fits GS3 193.040894
/Users/Vince.ec/Clear_data/flt_files/icxt31r3q_flt.fits GS3 193.040894
/Users/Vince.ec/Clear_data/flt_files/icxt31r6q_flt.fits GS3 193.040802
/Users/Vince.ec/Clear_data/flt_files/icxt31r8q_flt.fits GS3 193.040695
/Users/Vince.ec/Clear_data/flt_files/icxt32nlq_flt.fits GS3 173.040405
/Users/Vince.ec/Clear_data/flt_files/icxt32nmq_flt.fits GS3 173.040298
/Users/Vince.ec/Clear_data/flt_files/icxt32npq_flt.fits GS3 173.0401
/Users/Vince.ec/Clear_data/flt_files/icxt32nrq_flt.fits GS3 173.040298
/Users/Vince.ec/Clear_data/flt_files/icxt33roq_flt.fits GS3 173.040405
/Users/Vince.ec/Clear_data/flt_files/icxt33rpq_flt.fits GS3 173.040298
/Users/Vince.ec/Clear_data/flt_files/icxt33rsq_flt.fits GS3 173.0401
/Users/Vince.ec/Clear_data/flt_files/icxt33ruq_flt.fits GS3 173.040298
/Users/Vince.ec/Clear_data/flt_files/icxt34ekq_flt.fits GS3 215.999405
/Users/Vince.ec/Clear_data/flt_files/icxt34emq_flt.fits GS3 215.999298
/Users/Vince.ec/Clear_data/flt_files/icxt34epq_flt.fits GS3 215.999207
/Users/Vince.ec/Clear_data/flt_files/icxt34erq_flt.fits GS3 215.999207
/Users/Vince.ec/Clear_data/flt_files/icxt35s4q_flt.fits GS3 215.999405
/Users/Vince.ec/Clear_data/flt_files/icxt35s6q_flt.fits GS3 215.999298
/Users/Vince.ec/Clear_data/flt_files/icxt35s9q_flt.fits GS3 215.999207
/Users/Vince.ec/Clear_data/flt_files/icxt35sbq_flt.fits GS3 215.999207
/Users/Vince.ec/Clear_data/flt_files/icxt36jmq_flt.fits GN7 334.990906
